RouteNum;Authority;City;Transport;Operator;ValidityPeriods;SpecialDates;RouteTag;RouteType;Commercial;RouteName;Weekdays;RouteID;Entry;RouteStops;Pikas2012.10.7;Datestart
;;;;;;;;B>A;A;Сосновый Бор - Ангарская-4;1234567;100113;;14404,14405,14384,14382,14649,14651,14675,14488,14677,15418,15419,15420,15421,14774,14775,15363,15404,15405,15407,15408,15409,15410,15411,15303,15304,68909;;
27д;;;;;16007,;;;A>B;A;Ангарская-4 - Запорожская пл.;12345;107996;;68909,15330,133033,133035,15413,133037,15406,15417,133039,14739,14774;;d1-d5 - 29.10.2013
;;;;;;;;B>A;A;Запорожская пл. - Ангарская-4;12345;107995;;14774,14775,15404,15405,133038,15410,133036,133034,15833,68909;;
28;;;;5 АП;15924,;;;A>B;A;Корженевского - Масюковщина;1234567;100076;;71466,15056,15057,15058,15031,15032,15947,15948,16229,73882,69018,15594,15595,15635,15636,15637,71807,73042,15214,15215,15165,14715,14817,14818,14819,14591,14592,14593,15245,15246,15259,15260,15261,15227,58358,16234,133181,16235;;d1-d5 - 07.08.2013<br>d6-d7 - 14.09.2013
;;;;;;;;B>A;A;Масюковщина -  Корженевского;1234567;100077;;16235,16233,133157,15240,15241,15242,15243,15244,14681,14682,14683,14702,14703,14704,14714,15129,14903,14905,71803,73043,15649,15650,15651,15570,15571,69034,16230,16255,68998,15949,15950,15030,15047,15048,15049,71466;;
;;;;;;;0.54;A1>D;A;Корженевского - D АП 5;1234567;100075;;71466,15056,15057,15058,15031,15032,15947,15948,16229,73882,69018,15594,15595,15635,15636,15637,71807,73042,15214;;
;;;;;;;0.56;D>A1;A;D -  Корженевского;1234567;100085;;71803,15649,15650,15651,15570,15571,69034,16230,16255,68998,15949,15950,15030,15047,15048,15049,71466;;
;;;;;;;0.22;D>B1;A;D АП 5 - Масюковщина;1234567;100082;;14593,15245,15246,15259,15260,15261,15262,15227,58358,16234,133181,16235;;
29;;;;7 АП;15010,;;;A>B;A;Карастояновой дс - Кунцевщина дс;1234567;50897;;15750,15714,15713,58346,15720,15728,15731,15736,14471,15741,15218,15011,15526,15039,15040,15041,54537,14699,15223,15224,15225,15256,15257,15248,14593,14594,14595,14596,15561,15560,15559,15520,15521,15522,15858;;d1-d5 - 26.11.2012<br>d6-d7 - 05.02.2011
;;;;;;;;B>A;A;Кунцевщина дс - Карастояновой дс;1234567;50895;;15858,15554,15555,15556,15557,15558,14615,14679,14680,14681,15249,15254,15255,15263,15277,15278,14841,54519,15084,15112,15113,15890,15743,58359,15740,15737,15732,15730,15719,15718,15717,15716,15715,15750;;
;;;;;;;0;B>D;A;Кунцевщина дс - D АП 7;1234567;50898;;15858,15554,15555,15556,15557,15558,14615,14679,14680,14681,15249,15254,15255,15263,15277,15278,14841,54519;;
;;;;;;;0;D>B;A;D АП 7 - Кунцевщина дс;12345;50896;;54537,14699,15223,15224,15225,15256,15257,15248,14593,14594,14595,14596,15561,15560,15559,15520,15521,15522,15858;;
30с;;;;5 АП;15918,;;;A>B;A;Корженевского - Красный Бор;1234567;100127;;71466,15056,15057,15058,15031,15032,15947,15948,16229,69018,15595,15635,15636,15637,15638,58341,58337,14874,14875,14876,14877,14889,14890,16007;;d1-d5 - 01.08.2013<br>d6-d7 - 01.09.2013
;;;;;;;;B>A;A;Красный Бор -  Корженевского;1234567;100126;;16007,14893,15178,14870,14871,14872,14873,58335,58336,15647,15649,15650,15651,15570,15571,69034,16255,15949,15950,15030,15047,15048,15049,15054,71466;;
;;;;;;;0;E>C;A;с Курасовщина  ДС;67;100120;;15836,71466;;
;;;;;;;0;A>D;A;Корженевского - D;12345;100121;;71466,15056,15057,15058,15031,15032,15947,15948,16229,69018,15595,15635,15636,15637,71807;;
;;;;;;;0.06;B1>D;A;Красный Бор - D(подбор);12345;100129;;16007,14893,15178,15170;;
;;;;;15949,;;0.06;B1>D;A;Красный Бор - D (подбор);67;100755;;16007,14893,15178,15170;;
;;;;;15918,;;0.06;D>B1;A;D - Красный Бор;12345;100128;;14889,14890,16007;;
;;;;;15949,;;0.06;D>B1;A;D - Красный Бор (подбор);67;100754;;69517,14890,16007;;
